frequency v_mag v_phase i_mag i_phase
10000.0 0.09940928 -79.9 0.002081371 -81.95
5300.0 0.1098226 142.71 0.002259157 138.47
2800.0 0.1126481 -79.43 0.002258845 -86.48
1500.0 0.1101959 101.31 0.002121624 90.21
770.0 0.1182459 150.33 0.002116504 133.09
400.0 0.1228327 -67.34 0.001942117 -92.83
210.0 0.1366345 31.04 0.001777546 -4.24
110.0 0.1596174 129.15 0.001568467 84.08
59.0 0.1930802 89.22 0.001343531 36.02
31.0 0.2237788 -131.36 0.001048159 169.41
16.0 0.2444807 -41.7 0.0007359864 -105.4
8.5 0.2505511 44.16 0.0004828582 -22.18
4.5 0.2311227 172.29 0.0002682802 103.88
2.4 0.2150556 -61.85 0.0001521629 -131.42
1.2 0.1906185 -71.84 7.56336e-05 -142.14
0.65 0.1732485 -34.14 4.126868e-05 -104.1
0.34 0.1630303 6.08 2.356075e-05 -63.12
0.18 0.1582145 92.8 1.397686e-05 23.72
0.095 0.1618851 -178.77 8.78502e-06 111.72
0.05 0.1564567 -1.24 5.069265e-06 -70.3
