frequency v_mag v_phase i_mag i_phase
10000.0 0.1276864 -82.27 0.0003391856 -82.75
5300.0 0.1285303 138.52 0.0003392296 137.66
2800.0 0.1291073 -85.94 0.0003390549 -87.36
1500.0 0.1297466 91.71 0.0003383772 89.44
770.0 0.1307937 135.86 0.0003373459 132.22
400.0 0.1326624 -87.71 0.0003358211 -93.6
210.0 0.129377 4.21 0.000317447 -5.16
110.0 0.1349194 97.67 0.0003134897 82.88
59.0 0.13488 58.61 0.000285602 36.4
31.0 0.1433979 -160.99 0.0002571511 167.2
16.0 0.156289 -66.07 0.0002146532 -108.58
8.5 0.1650861 24.9 0.0001597925 -26.81
4.5 0.1698523 157.23 0.0001093494 99.26
2.4 0.1670841 -73.62 6.883567e-05 -135.93
1.2 0.1638393 -78.95 4.063655e-05 -144.18
0.65 0.1573055 -38.49 2.461953e-05 -105.41
0.34 0.1543915 3.2 1.467695e-05 -64.41
0.18 0.1575953 90.28 9.204788e-06 23.41
0.095 0.1495084 178.23 5.289923e-06 112.95
0.05 0.149461 -4.33 3.413275e-06 -67.11
