frequency v_mag v_phase i_mag i_phase
10000.0 0.131129 -80.91 9.246767e-05 -82.97
5300.0 0.1316243 139.16 9.245791e-05 137.78
2800.0 0.1317542 -85.79 9.235354e-05 -86.81
1500.0 0.1320162 91.29 9.223194e-05 90.25
770.0 0.1321881 134.58 9.203741e-05 133.2
400.0 0.1325503 -90.37 9.171965e-05 -92.39
210.0 0.1330676 -0.32 9.131647e-05 -3.5
110.0 0.1339051 90.09 9.052617e-05 84.96
59.0 0.1352914 45.85 8.925733e-05 37.77
31.0 0.1379869 -177.48 8.708217e-05 169.7
16.0 0.1350962 -84.32 7.764325e-05 -104.78
8.5 0.1381977 8.04 6.85597e-05 -21.53
4.5 0.1420499 144.35 5.54509e-05 104.64
2.4 0.1459799 -81.32 4.11281e-05 -130.26
1.2 0.1481969 -82.43 2.709153e-05 -138.43
0.65 0.1489474 -40.53 1.80416e-05 -100.6
0.34 0.1559635 2.97 1.194801e-05 -59.5
0.18 0.1508432 90.34 7.198937e-06 26.44
0.095 0.1529849 178.44 4.556923e-06 114.99
0.05 0.1526905 -5.42 2.766468e-06 -66.15
