frequency v_mag v_phase i_mag i_phase
10000.0 0.1288232 -81.08 0.0001707474 -82.0
5300.0 0.1294464 139.37 0.0001707257 138.44
2800.0 0.1297712 -85.31 0.000170559 -86.28
1500.0 0.1301521 91.97 0.0001703523 90.55
770.0 0.1305943 135.55 0.0001699931 133.43
400.0 0.1314989 -88.98 0.0001693662 -92.29
210.0 0.1326872 1.68 0.0001682122 -3.72
110.0 0.1348479 93.16 0.0001663653 84.53
59.0 0.1326508 50.43 0.000155988 36.7
31.0 0.1402094 -170.95 0.0001509939 168.06
16.0 0.1403082 -76.53 0.0001288027 -107.61
8.5 0.1473562 16.15 0.0001058452 -25.36
4.5 0.1531949 151.1 7.78442e-05 100.04
2.4 0.1533645 -76.31 5.225913e-05 -133.51
1.2 0.1543175 -81.28 3.244885e-05 -143.06
0.65 0.1509879 -39.14 2.04303e-05 -103.52
0.34 0.1575695 2.81 1.326047e-05 -62.94
0.18 0.1515859 90.2 7.882817e-06 24.04
0.095 0.1532179 178.28 4.883659e-06 113.2
0.05 0.1528219 -4.87 3.016455e-06 -67.49
