frequency v_mag v_phase i_mag i_phase
10000.0 0.118913 -81.5 0.001362085 -82.78
5300.0 0.1204402 140.45 0.001362641 137.6
2800.0 0.1224318 -82.64 0.001362029 -87.41
1500.0 0.1253201 96.97 0.001358406 89.37
770.0 0.1244587 144.05 0.001288562 132.02
400.0 0.1340209 -75.26 0.001282346 -93.78
210.0 0.1366932 23.2 0.001144795 -3.83
110.0 0.1498534 121.26 0.001017638 84.18
59.0 0.1694078 82.49 0.0008623278 36.08
31.0 0.1923615 -138.57 0.000676419 166.86
16.0 0.214828 -48.1 0.0004937082 -108.45
8.5 0.2114544 37.26 0.0003068649 -26.82
4.5 0.2087135 166.62 0.0001898155 99.89
2.4 0.1939727 -66.49 0.0001075346 -135.18
1.2 0.1780752 -75.68 5.689522e-05 -145.38
0.65 0.1649395 -36.22 3.211937e-05 -106.23
0.34 0.159006 5.35 1.86275e-05 -64.2
0.18 0.1547554 92.2 1.099558e-05 23.82
0.095 0.1583803 -179.66 7.012806e-06 113.01
0.05 0.1607461 -2.86 4.421548e-06 -68.92
