START MEASUREMENT SETTINGS
concentration,0.0625
voltage_min,0.5
voltage_max,1.2
pointsPerV,4
END MEASUREMENT SETTINGS
time,voltage,current,stdDev
i,f,f,f
1378270627,0.5,-1.51153333333e-06,1.38296600906e-06
1378270628,0.5,-1.5346e-06,1.00199833666e-07
1378270629,0.5,-1.37273333333e-06,9.20734972122e-08
1378270630,0.5,-1.2659e-06,9.28638250343e-08
1378270631,0.5,-1.15311666667e-06,9.14778828764e-08
1378270632,0.5,-1.0702e-06,9.13735556201e-08
1378270633,0.5,-9.93133333333e-07,8.93327985059e-08
1378270634,0.55,2.72316666667e-07,4.31826025604e-07
1378270635,0.55,-3.05066666667e-07,9.90168111428e-08
1378270636,0.55,-4.06933333333e-07,8.89658860962e-08
1378270637,0.55,-4.44583333333e-07,8.72309753216e-08
1378270638,0.55,-4.43466666667e-07,8.73469073421e-08
1378270639,0.6,7.54766666667e-07,4.29717285614e-07
1378270640,0.6,1.37383333333e-07,1.07452639438e-07
1378270641,0.6,-1.65666666667e-08,9.01658410313e-08
1378270642,0.6,-7.645e-08,8.8112508571e-08
1378270643,0.6,-1.08666666667e-07,8.92126049888e-08
1378270644,0.65,1.08295e-06,4.24519195679e-07
1378270645,0.65,4.53316666667e-07,1.10296190878e-07
1378270646,0.65,2.87683333333e-07,9.32132844014e-08
1378270647,0.65,2.06316666667e-07,9.03051293609e-08
1378270648,0.65,1.59233333333e-07,9.08326972455e-08
1378270649,0.7,1.35925e-06,4.26972505945e-07
1378270650,0.7,7.45883333333e-07,1.11425474596e-07
1378270651,0.7,5.72283333333e-07,9.5602665874e-08
1378270652,0.7,4.783e-07,9.00431933389e-08
1378270653,0.7,4.152e-07,9.09594781574e-08
1378270654,0.75,1.66975e-06,4.16957057141e-07
1378270655,0.75,1.03831666667e-06,1.10983856434e-07
1378270656,0.75,8.55783333333e-07,9.49524603274e-08
1378270657,0.75,7.51533333333e-07,9.34111818194e-08
1378270658,0.75,6.77366666667e-07,9.23917324344e-08
1378270659,0.8,2.01668333333e-06,4.19575280956e-07
1378270660,0.8,1.37553333333e-06,1.17806545753e-07
1378270661,0.8,1.1868e-06,9.64292141072e-08
1378270662,0.8,1.06088333333e-06,9.33281114611e-08
1378270663,0.8,9.7275e-07,9.29669520134e-08
1378270664,0.85,2.42825e-06,4.30828683083e-07
1378270665,0.85,1.78631666667e-06,1.17685384489e-07
1378270666,0.85,1.55458333333e-06,9.97600941704e-08
1378270667,0.85,1.43233333333e-06,9.42030903008e-08
1378270668,0.85,1.33836666667e-06,9.22993258673e-08
1378270669,0.9,2.88173333333e-06,4.4819786801e-07
1378270670,0.9,2.29203333333e-06,1.15456480498e-07
1378270671,0.9,2.06243333333e-06,9.61556666152e-08
1378270672,0.9,1.93995e-06,9.70802803526e-08
1378270673,0.9,1.83393333333e-06,9.2688702416e-08
1378270674,0.95,3.63083333333e-06,4.59021211081e-07
1378270675,0.95,3.03775e-06,1.19804093558e-07
1378270676,0.95,2.84198333333e-06,9.60615239775e-08
1378270677,0.95,2.71531666667e-06,9.42186272572e-08
1378270678,0.95,2.64683333333e-06,9.53640684721e-08
1378270679,1.0,4.74815e-06,4.74208808614e-07
1378270680,1.0,4.2003e-06,1.15100289603e-07
1378270681,1.0,4.01018333333e-06,9.81744181999e-08
1378270682,1.0,3.88763333333e-06,9.45889293499e-08
1378270683,1.0,3.78615e-06,9.56700623671e-08
1378270684,1.05,6.18798333333e-06,5.13726434712e-07
1378270685,1.05,5.5479e-06,1.17132787895e-07
1378270686,1.05,5.30085e-06,9.64089942208e-08
1378270687,1.05,5.257e-06,9.76106210068e-08
1378270688,1.05,5.19976666667e-06,9.56832215641e-08
1378270689,1.1,8.02643333333e-06,5.81837845872e-07
