START MEASUREMENT SETTINGS
concentration,1.0
voltage_min,0.5
voltage_max,1.2
pointsPerV,4
END MEASUREMENT SETTINGS
time,voltage,current,stdDev
i,f,f,f
1378250224,0.5,-5.5185e-07,9.96978476866e-08
1378250225,0.5,-5.0575e-07,9.2664380967e-08
1378250226,0.5,-4.62366666667e-07,8.71181126721e-08
1378250227,0.5,-4.257e-07,8.70709097996e-08
1378250228,0.5,-4.05716666667e-07,8.65817709195e-08
1378250229,0.5,-3.85166666667e-07,9.22007170375e-08
1378250230,0.5,-3.6825e-07,8.58963765243e-08
1378250231,0.5,-3.4935e-07,8.69491853518e-08
1378250232,0.5,-3.3825e-07,7.64396548483e-08
1378250233,0.5,-3.28766666667e-07,8.16985039983e-08
1378250234,0.5,-3.2105e-07,8.4610760742e-08
1378250235,0.5,-3.12483333333e-07,8.59898233643e-08
1378250236,0.5,-3.01916666667e-07,7.870563124e-08
1378250237,0.5,-2.9985e-07,7.91889775579e-08
1378250238,0.5,-2.89016666667e-07,7.8094705682e-08
1378250239,0.5,-2.86333333333e-07,8.99493684741e-08
1378250240,0.5,-2.80483333333e-07,7.97601595758e-08
1378250241,0.5,-2.78116666667e-07,8.25249642364e-08
1378250242,0.5,-2.6855e-07,8.21684093798e-08
1378250243,0.5,-2.62716666667e-07,8.83347971577e-08
1378250244,0.5,-2.59633333333e-07,8.30232832135e-08
1378250245,0.5,-2.55016666667e-07,7.93699127854e-08
1378250246,0.5,-2.53e-07,8.46591203986e-08
1378250247,0.5,-2.49416666667e-07,8.15949940594e-08
1378250248,0.5,-2.48266666667e-07,8.7140665338e-08
1378250249,0.5,-2.48183333333e-07,8.64915201367e-08
1378250250,0.5,-2.38766666667e-07,8.56123757928e-08
1378250251,0.5,-2.374e-07,8.08604147075e-08
1378250252,0.5,-2.37933333333e-07,7.99618381202e-08
1378250253,0.5,-2.31733333333e-07,8.44550899723e-08
1378250254,0.5,-2.333e-07,8.39679105373e-08
1378250255,0.5,-2.30666666667e-07,8.32939907129e-08
1378250256,0.5,-2.239e-07,7.43771246195e-08
1378250257,0.5,-2.237e-07,8.40980182089e-08
1378250258,0.5,-2.16533333333e-07,8.10543987428e-08
1378250259,0.55,1.57848333333e-06,5.3389710281e-07
1378250260,0.55,8.4895e-07,1.1940120393e-07
1378250261,0.55,6.24716666667e-07,9.40044487718e-08
1378250262,0.55,4.93433333333e-07,9.18434114252e-08
1378250263,0.55,4.12633333333e-07,9.08537224823e-08
1378250264,0.55,3.43e-07,8.79147314163e-08
1378250265,0.55,2.92e-07,8.62940708662e-08
1378250266,0.55,2.551e-07,8.20984571516e-08
1378250267,0.55,2.27583333333e-07,8.41283328546e-08
1378250268,0.55,1.942e-07,8.81515361938e-08
1378250269,0.55,1.695e-07,8.50475357276e-08
1378250270,0.55,1.46833333333e-07,8.81635160118e-08
1378250271,0.55,1.294e-07,9.26209479546e-08
1378250272,0.55,1.147e-07,9.38007284975e-08
1378250273,0.55,9.69833333333e-08,8.54769933309e-08
1378250274,0.55,8.77166666667e-08,8.62459838034e-08
1378250275,0.55,7.17333333333e-08,8.94324450198e-08
