START MEASUREMENT SETTINGS
concentration,0.25
voltage_min,0.5
voltage_max,1.2
pointsPerV,4
END MEASUREMENT SETTINGS
time,voltage,current,stdDev
i,f,f,f
1378259399,0.5,-3.03706666667e-06,3.41020618471e-07
1378259400,0.5,-2.41326666667e-06,1.22602999782e-07
1378259401,0.5,-2.15613333333e-06,9.90532628887e-08
1378259402,0.5,-1.97671666667e-06,8.81294675779e-08
1378259403,0.5,-1.8372e-06,8.59573149883e-08
1378259404,0.5,-1.7247e-06,9.04152088976e-08
1378259405,0.5,-1.61215e-06,8.65089253584e-08
1378259406,0.5,-1.53408333333e-06,7.70426919889e-08
1378259407,0.5,-1.4619e-06,8.21435126268e-08
1378259408,0.5,-1.3938e-06,8.14855406396e-08
1378259409,0.5,-1.34218333333e-06,8.23952853964e-08
1378259410,0.5,-1.28806666667e-06,8.53713196701e-08
1378259411,0.5,-1.20921666667e-06,8.81720083448e-08
1378259412,0.5,-1.1786e-06,8.10331619359e-08
1378259413,0.5,-1.13766666667e-06,7.78260167867e-08
1378259414,0.5,-1.09656666667e-06,8.23390079016e-08
1378259415,0.5,-1.06338333333e-06,7.7644293988e-08
1378259416,0.5,-1.02005e-06,7.86601180184e-08
1378259417,0.5,-9.93366666667e-07,8.60523032166e-08
1378259418,0.55,4.91533333333e-07,4.76980239516e-07
1378259419,0.55,-1.01133333333e-07,1.01985532743e-07
1378259420,0.55,-2.32e-07,8.64137334764e-08
1378259421,0.55,-2.99116666667e-07,8.37753129242e-08
1378259422,0.55,-3.33433333333e-07,8.02478175543e-08
1378259423,0.55,-3.5025e-07,7.811223229e-08
1378259424,0.55,-3.62633333333e-07,8.10240636409e-08
1378259425,0.55,-3.65133333333e-07,7.87071505999e-08
1378259426,0.55,-3.66583333333e-07,8.94384875518e-08
1378259427,0.55,-3.69e-07,8.64898838015e-08
1378259428,0.55,-3.6425e-07,7.98739892998e-08
1378259429,0.55,-3.56483333333e-07,8.63281513889e-08
1378259430,0.55,-3.564e-07,8.40171014338e-08
1378259431,0.55,-3.47766666667e-07,8.36102798039e-08
1378259432,0.55,-3.49033333333e-07,8.02697466186e-08
1378259433,0.55,-3.39883333333e-07,8.34609872269e-08
1378259434,0.55,-3.28583333333e-07,8.01960704912e-08
1378259435,0.6,1.24601666667e-06,5.62691789279e-07
1378259436,0.6,5.74933333333e-07,1.00355180346e-07
1378259437,0.6,4.03933333333e-07,8.83724818909e-08
1378259438,0.6,3.03616666667e-07,8.68523827473e-08
1378259439,0.6,2.47366666667e-07,8.27399473585e-08
1378259440,0.6,2.02816666667e-07,8.61499645321e-08
1378259441,0.6,1.70716666667e-07,8.53526198908e-08
1378259442,0.6,1.36533333333e-07,7.74606279918e-08
1378259443,0.6,1.18e-07,8.03523490634e-08
1378259444,0.6,9.57333333333e-08,7.80414135073e-08
1378259445,0.6,8.32666666667e-08,8.28281084871e-08
1378259446,0.6,7.34833333333e-08,8.13333657787e-08
1378259447,0.6,5.57333333333e-08,7.93355461876e-08
1378259448,0.6,4.99666666667e-08,7.80694064421e-08
1378259449,0.6,3.87833333333e-08,7.8840152982e-08
1378259450,0.6,2.90833333333e-08,7.96193635717e-08
1378259451,0.6,2.75833333333e-08,7.83299201384e-08
1378259452,0.65,1.55196666667e-06,4.70144090206e-07
1378259453,0.65,9.24366666667e-07,1.12145436327e-07
1378259454,0.65,7.4325e-07,8.97089042403e-08
1378259455,0.65,6.32883333333e-07,8.81065816056e-08
1378259456,0.65,5.57433333333e-07,8.43499390766e-08
1378259457,0.65,4.97266666667e-07,8.86003887626e-08
1378259458,0.65,4.55116666667e-07,8.66212236631e-08
1378259459,0.65,4.242e-07,8.62961567317e-08
1378259460,0.65,3.90966666667e-07,8.31959467496e-08
1378259461,0.65,3.67483333333e-07,8.25969110937e-08
1378259462,0.65,3.45383333333e-07,8.19640351347e-08
1378259463,0.65,3.26583333333e-07,8.11977609845e-08
1378259464,0.65,3.02216666667e-07,8.01633939041e-08
1378259465,0.65,2.853e-07,8.08222947789e-08
1378259466,0.65,2.70166666667e-07,8.04703188898e-08
1378259467,0.65,2.568e-07,8.54591130307e-08
1378259468,0.65,2.44016666667e-07,8.41018215551e-08
1378259469,0.7,1.7834e-06,4.71064510798e-07
1378259470,0.7,1.16321666667e-06,1.08023468386e-07
1378259471,0.7,9.60533333333e-07,9.36405301613e-08
1378259472,0.7,8.44416666667e-07,8.66251102292e-08
1378259473,0.7,7.598e-07,8.12811581282e-08
1378259474,0.7,6.95833333333e-07,8.27313255196e-08
1378259475,0.7,6.40716666667e-07,8.8325551544e-08
1378259476,0.7,5.91616666667e-07,8.96007982975e-08
1378259477,0.7,5.52616666667e-07,8.62220180052e-08
1378259478,0.7,5.29866666667e-07,8.24124720874e-08
1378259479,0.7,4.99416666667e-07,8.38574766427e-08
1378259480,0.7,4.79616666667e-07,8.36387254141e-08
1378259481,0.7,4.5995e-07,8.7037812664e-08
1378259482,0.7,4.362e-07,7.97217661621e-08
1378259483,0.7,4.15566666667e-07,8.43890527392e-08
1378259484,0.7,3.95816666667e-07,7.86177443216e-08
1378259485,0.7,3.87316666667e-07,7.86143523085e-08
1378259486,0.75,2.04208333333e-06,5.48879230544e-07
1378259487,0.75,1.33126666667e-06,1.11893828645e-07
1378259488,0.75,1.12781666667e-06,8.9687325687e-08
1378259489,0.75,1.01503333333e-06,8.96967050058e-08
1378259490,0.75,9.19066666667e-07,8.46835022632e-08
1378259491,0.75,8.4565e-07,8.36599914336e-08
1378259492,0.75,7.87483333333e-07,8.68931320007e-08
1378259493,0.75,7.38566666667e-07,8.69268594215e-08
1378259494,0.75,7.01866666667e-07,8.599233816e-08
