START MEASUREMENT SETTINGS
concentration,1.0
voltage_min,0.5
voltage_max,1.2
pointsPerV,4
END MEASUREMENT SETTINGS
time,voltage,current,stdDev
i,f,f,f
1378251359,0.5,-6.9905e-07,1.07989262584e-07
1378251360,0.5,-5.41716666667e-07,8.38647903208e-08
1378251361,0.5,-4.57266666667e-07,8.38512306939e-08
1378251362,0.5,-4.0375e-07,8.3066364031e-08
1378251363,0.5,-3.55733333333e-07,9.02143496839e-08
1378251364,0.5,-3.33183333333e-07,8.69153787057e-08
1378251365,0.5,-3.1095e-07,9.29543660441e-08
1378251366,0.5,-2.897e-07,8.73684344219e-08
1378251367,0.5,-2.736e-07,9.12507899509e-08
1378251368,0.5,-2.60166666667e-07,8.30339622618e-08
1378251369,0.5,-2.5275e-07,8.23530256477e-08
1378251370,0.5,-2.39783333333e-07,8.67575340949e-08
1378251371,0.5,-2.39716666667e-07,8.86246940129e-08
1378251372,0.5,-2.278e-07,8.19470967556e-08
1378251373,0.5,-2.18516666667e-07,8.47646726073e-08
1378251374,0.5,-2.16416666667e-07,7.81467192032e-08
1378251375,0.5,-2.11083333333e-07,8.09696016347e-08
1378251376,0.5,-2.11483333333e-07,8.26904854798e-08
1378251377,0.5,-2.02333333333e-07,7.84976998955e-08
1378251378,0.55,1.5018e-06,5.23435376463e-07
1378251379,0.55,7.96333333333e-07,1.19222714092e-07
1378251380,0.55,5.79416666667e-07,9.05248201078e-08
1378251381,0.55,4.61783333333e-07,8.89526262806e-08
1378251382,0.55,3.78783333333e-07,9.07511417131e-08
1378251383,0.55,3.23533333333e-07,8.91441653852e-08
1378251384,0.55,2.72316666667e-07,8.93693630701e-08
1378251385,0.55,2.46e-07,9.19130023446e-08
1378251386,0.55,2.133e-07,9.14199649967e-08
1378251387,0.55,1.88383333333e-07,9.32200070919e-08
1378251388,0.55,1.66316666667e-07,8.95275547279e-08
1378251389,0.55,1.4635e-07,8.98633824202e-08
1378251390,0.55,1.34316666667e-07,9.39190239278e-08
1378251391,0.55,1.21483333333e-07,8.940106108e-08
1378251392,0.55,1.0695e-07,8.72006163969e-08
1378251393,0.55,9.075e-08,8.84280545604e-08
1378251394,0.55,8.48833333333e-08,9.14452644421e-08
1378251395,0.6,1.81171666667e-06,4.9881005375e-07
1378251396,0.6,1.11933333333e-06,1.27328533941e-07
1378251397,0.6,8.81716666667e-07,9.9081463397e-08
1378251398,0.6,7.4755e-07,1.00306600813e-07
1378251399,0.6,6.57e-07,9.42708862799e-08
1378251400,0.6,5.88133333333e-07,9.43107393437e-08
1378251401,0.6,5.3125e-07,9.96135240149e-08
1378251402,0.6,4.9015e-07,8.95287337488e-08
1378251403,0.6,4.57283333333e-07,9.51894762507e-08
1378251404,0.6,4.31333333333e-07,9.74032283289e-08
1378251405,0.6,3.99233333333e-07,9.61487331632e-08
1378251406,0.6,3.7565e-07,9.75448315733e-08
1378251407,0.6,3.566e-07,9.40971483805e-08
1378251408,0.6,3.3595e-07,9.45816093822e-08
1378251409,0.6,3.23233333333e-07,9.81455325298e-08
