START MEASUREMENT SETTINGS
concentration,0.003125
voltage_min,0.5
voltage_max,1.2
pointsPerV,4
END MEASUREMENT SETTINGS
time,voltage,current,stdDev
i,f,f,f
1378325284,0.5,-8.11166666667e-08,1.61146423237e-07
1378325285,0.5,-5.845e-08,8.70556191945e-08
1378325286,0.5,-4.87666666667e-08,8.8609511654e-08
1378325287,0.5,-4.46666666667e-08,8.65142891216e-08
1378325288,0.5,-4.03666666667e-08,8.87009895974e-08
1378325289,0.5,-3.55166666667e-08,8.73125595522e-08
1378325290,0.5,-3.50833333333e-08,8.96423061704e-08
1378325291,0.55,6.08716666667e-07,2.34923256382e-07
1378325292,0.55,2.8255e-07,9.6420506982e-08
1378325293,0.55,1.96183333333e-07,9.09680331521e-08
1378325294,0.55,1.51933333333e-07,9.00532928635e-08
1378325295,0.55,1.28466666667e-07,8.99276499316e-08
1378325296,0.6,9.07533333333e-07,3.47582962119e-07
1378325297,0.6,4.54283333333e-07,9.84863935893e-08
1378325298,0.6,3.44266666667e-07,9.29738075422e-08
1378325299,0.6,2.94033333333e-07,8.95510965253e-08
1378325300,0.6,2.6175e-07,9.04176651251e-08
1378325301,0.65,1.00715e-06,2.76270629697e-07
1378325302,0.65,6.1685e-07,1.00109910432e-07
1378325303,0.65,4.97816666667e-07,9.16786946654e-08
1378325304,0.65,4.36283333333e-07,9.11999802022e-08
1378325305,0.65,3.97733333333e-07,9.08957033577e-08
1378325306,0.7,1.187e-06,2.58200180738e-07
1378325307,0.7,8.09233333333e-07,1.01876946471e-07
1378325308,0.7,6.77583333333e-07,9.24143372114e-08
1378325309,0.7,6.034e-07,9.11552156123e-08
1378325310,0.7,5.6035e-07,8.99599586853e-08
1378325311,0.75,1.4322e-06,2.7041140262e-07
1378325312,0.75,1.02258333333e-06,1.00465963004e-07
1378325313,0.75,8.87666666667e-07,9.22038803715e-08
1378325314,0.75,8.06983333333e-07,9.12523043849e-08
1378325315,0.75,7.61366666667e-07,9.07347722149e-08
1378325316,0.8,1.71226666667e-06,2.82107891102e-07
1378325317,0.8,1.30335e-06,1.02340253566e-07
1378325318,0.8,1.13765e-06,9.31954621571e-08
1378325319,0.8,1.05078333333e-06,8.93829013601e-08
1378325320,0.8,9.88283333333e-07,9.1046525042e-08
1378325321,0.85,2.0888e-06,3.25730041599e-07
1378325322,0.85,1.60658333333e-06,1.0894070125e-07
1378325323,0.85,1.43956666667e-06,9.33772575214e-08
1378325324,0.85,1.3236e-06,9.20988961208e-08
1378325325,0.85,1.25988333333e-06,9.07105454485e-08
1378325326,0.9,2.43e-06,3.10006989169e-07
1378325327,0.9,1.98305e-06,1.11470238928e-07
1378325328,0.9,1.80533333333e-06,9.75468548385e-08
1378325329,0.9,1.69716666667e-06,9.53509599089e-08
1378325330,0.9,1.59471666667e-06,9.25013678578e-08
1378325331,0.95,2.91091666667e-06,3.27247984036e-07
1378325332,0.95,2.4768e-06,1.10779480651e-07
1378325333,0.95,2.2893e-06,9.77207415718e-08
1378325334,0.95,2.21111666667e-06,9.49122562628e-08
1378325335,0.95,2.14348333333e-06,9.01588397712e-08
1378325336,1.0,3.56993333333e-06,3.26000248807e-07
1378325337,1.0,3.1572e-06,1.09652450953e-07
1378325338,1.0,3.02605e-06,9.25552852804e-08
1378325339,1.0,2.93803333333e-06,9.08687637322e-08
1378325340,1.0,2.87361666667e-06,9.3069882645e-08
1378325341,1.05,4.55965e-06,3.5751404751e-07
1378325342,1.05,4.17566666667e-06,9.49090207632e-08
1378325343,1.05,4.08428333333e-06,9.27113965786e-08
1378325344,1.05,3.99523333333e-06,9.20992882105e-08
1378325345,1.05,3.92116666667e-06,9.2277510201e-08
1378325346,1.1,5.88463333333e-06,3.72116512518e-07
1378325347,1.1,5.6211e-06,9.54137830714e-08
1378325348,1.1,5.48521666667e-06,1.09038386462e-07
1378325349,1.1,5.38646666667e-06,9.19665639724e-08
1378325350,1.1,5.27671666667e-06,9.37157211405e-08
1378325351,1.15,7.66413333333e-06,4.31183737582e-07
1378325352,1.15,7.33301666667e-06,1.05112557395e-07
1378325353,1.15,7.13658333333e-06,9.83831441638e-08
1378325354,1.15,7.03056666667e-06,9.21602529414e-08
1378325355,1.15,7.01293333333e-06,9.28173594874e-08
1378325356,1.2,9.66838333333e-06,4.68875395376e-07
1378325357,1.2,9.3119e-06,1.06865444992e-07
1378325358,1.2,9.21481666667e-06,9.97156777487e-08
1378325359,1.2,9.05798333333e-06,9.88973359376e-08
1378325360,1.2,8.95375e-06,9.71743493246e-08
1378325361,1.175,7.67311666667e-06,2.53038606519e-07
1378325362,1.175,7.81511666667e-06,9.30138146848e-08
1378325363,1.175,7.8103e-06,9.62344879275e-08
1378325364,1.175,7.76301666667e-06,9.75105962903e-08
1378325365,1.175,7.74476666667e-06,9.66132093568e-08
1378325366,1.125,5.35508333333e-06,4.24153953641e-07
1378325367,1.125,5.64301666667e-06,9.37175706874e-08
1378325368,1.125,5.70863333333e-06,9.15093741403e-08
1378325369,1.125,5.7577e-06,9.34284574777e-08
1378325370,1.125,5.69115e-06,1.03815995075e-07
1378325371,1.075,3.61883333333e-06,3.82498547564e-07
1378325372,1.075,3.93358333333e-06,1.05323674399e-07
1378325373,1.075,4.08385e-06,9.13031260874e-08
1378325374,1.075,4.10043333333e-06,9.21184684101e-08
1378325375,1.075,4.06121666667e-06,9.01060655869e-08
1378325376,1.025,2.30023333333e-06,3.40729040278e-07
1378325377,1.025,2.62418333333e-06,1.04024434897e-07
1378325378,1.025,2.7304e-06,9.39778697354e-08
1378325379,1.025,2.78258333333e-06,9.10452802487e-08
1378325380,1.025,2.76928333333e-06,8.95892649199e-08
1378325381,0.975,1.24176666667e-06,3.19512199385e-07
1378325382,0.975,1.59803333333e-06,1.02286194355e-07
1378325383,0.975,1.72535e-06,9.09759721025e-08
1378325384,0.975,1.76726666667e-06,9.13191959861e-08
1378325385,0.975,1.78798333333e-06,8.97924443122e-08
1378325386,0.925,4.90333333333e-07,3.06025416519e-07
1378325387,0.925,8.5025e-07,1.00069246858e-07
1378325388,0.925,9.5145e-07,9.1736838293e-08
1378325389,0.925,1.01018333333e-06,9.00030539605e-08
1378325390,0.925,1.0382e-06,8.96293850624e-08
1378325391,0.875,-1.50966666667e-07,3.14223220374e-07
1378325392,0.875,2.686e-07,1.04141922394e-07
1378325393,0.875,3.9895e-07,9.15076362934e-08
1378325394,0.875,4.645e-07,9.05800750717e-08
1378325395,0.875,5.022e-07,9.05262024683e-08
1378325396,0.825,-5.53516666667e-07,3.1762538163e-07
1378325397,0.825,-1.21383333333e-07,1.03040459961e-07
1378325398,0.825,1.76833333333e-08,9.12864523842e-08
1378325399,0.825,9.26666666667e-08,8.81346822892e-08
1378325400,0.825,1.37116666667e-07,8.9366864043e-08
1378325401,0.775,-8.629e-07,3.13329310258e-07
1378325402,0.775,-3.94866666667e-07,1.05001502635e-07
1378325403,0.775,-2.447e-07,9.16428393275e-08
1378325404,0.775,-1.6565e-07,8.89203435666e-08
1378325405,0.775,-1.1285e-07,8.75250107112e-08
1378325406,0.725,-1.11216666667e-06,3.39694674998e-07
1378325407,0.725,-6.12366666667e-07,1.05121670247e-07
1378325408,0.725,-4.57416666667e-07,9.14580580861e-08
1378325409,0.725,-3.79333333333e-07,9.05799217389e-08
1378325410,0.725,-3.20266666667e-07,8.96266081523e-08
1378325411,0.675,-1.27366666667e-06,3.11582074081e-07
1378325412,0.675,-7.958e-07,1.0965564281e-07
1378325413,0.675,-6.3915e-07,9.4571106405e-08
1378325414,0.675,-5.4465e-07,9.05885984364e-08
1378325415,0.675,-4.878e-07,9.05860180528e-08
