START MEASUREMENT SETTINGS
concentration,0.125
voltage_min,0.5
voltage_max,1.2
pointsPerV,4
END MEASUREMENT SETTINGS
time,voltage,current,stdDev
i,f,f,f
1378266259,0.5,-1.48646666667e-06,2.74466784066e-07
1378266260,0.5,-1.01631666667e-06,1.01501312252e-07
1378266261,0.5,-8.6155e-07,8.8671758939e-08
1378266262,0.5,-7.69716666667e-07,8.96251623275e-08
1378266263,0.5,-7.18683333333e-07,8.82780628972e-08
1378266264,0.5,-6.77583333333e-07,8.56431144667e-08
1378266265,0.5,-6.35033333333e-07,8.7508088515e-08
1378266266,0.5,-6.10216666667e-07,8.66835416264e-08
1378266267,0.5,-5.85683333333e-07,8.88535295991e-08
1378266268,0.5,-5.63683333333e-07,8.65593229461e-08
1378266269,0.5,-5.3705e-07,8.54149528283e-08
1378266270,0.5,-5.3055e-07,8.93557356861e-08
1378266271,0.5,-5.15566666667e-07,8.80568692506e-08
1378266272,0.5,-4.97583333333e-07,8.92976841183e-08
1378266273,0.5,-4.81366666667e-07,8.80868826153e-08
1378266274,0.5,-4.70283333333e-07,8.517826242e-08
1378266275,0.5,-4.56733333333e-07,8.55209266138e-08
1378266276,0.5,-4.453e-07,8.82831240952e-08
1378266277,0.5,-4.36216666667e-07,8.72989292921e-08
1378266278,0.5,-4.30816666667e-07,8.32140796714e-08
1378266279,0.5,-4.22116666667e-07,8.64085434948e-08
1378266280,0.5,-4.19183333333e-07,8.76760118593e-08
1378266281,0.5,-4.03783333333e-07,8.64856619459e-08
1378266282,0.5,-4.01383333333e-07,8.6929107451e-08
1378266283,0.5,-3.903e-07,8.40629327746e-08
1378266284,0.5,-3.83266666667e-07,8.94762289972e-08
1378266285,0.5,-3.7825e-07,8.87262879121e-08
1378266286,0.5,-3.72933333333e-07,8.7763292757e-08
1378266287,0.5,-3.63166666667e-07,8.68924942418e-08
1378266288,0.5,-3.613e-07,8.64801133209e-08
1378266289,0.5,-3.5245e-07,8.89208308928e-08
1378266290,0.5,-3.52383333333e-07,8.83066799411e-08
1378266291,0.5,-3.42933333333e-07,8.87809789438e-08
1378266292,0.5,-3.39333333333e-07,8.51668297454e-08
1378266293,0.5,-3.347e-07,8.73579418256e-08
1378266294,0.5,-3.28916666667e-07,8.77120842428e-08
1378266295,0.5,-3.27316666667e-07,8.67326335483e-08
1378266296,0.5,-3.22133333333e-07,8.68127230819e-08
1378266297,0.5,-3.15466666667e-07,8.66791914027e-08
1378266298,0.5,-3.12783333333e-07,8.59864508061e-08
1378266299,0.5,-3.089e-07,8.53158250268e-08
1378266300,0.5,-3.04966666667e-07,8.63876855936e-08
1378266301,0.5,-2.98816666667e-07,8.67804685527e-08
1378266302,0.5,-2.96566666667e-07,8.80030996929e-08
1378266303,0.5,-2.91833333333e-07,8.76050163455e-08
1378266304,0.5,-2.8915e-07,9.02100927465e-08
1378266305,0.5,-2.85633333333e-07,8.73695154057e-08
1378266306,0.5,-2.81816666667e-07,8.67666394545e-08
1378266307,0.5,-2.76416666667e-07,8.71736373886e-08
1378266308,0.5,-2.776e-07,8.64546509256e-08
1378266309,0.5,-2.72316666667e-07,8.42004536145e-08
1378266310,0.5,-2.706e-07,8.71405378302e-08
1378266311,0.5,-2.697e-07,8.77263358405e-08
1378266312,0.5,-2.623e-07,8.57100344184e-08
1378266313,0.5,-2.60533333333e-07,8.75188487635e-08
1378266314,0.5,-2.53916666667e-07,8.73722480094e-08
1378266315,0.5,-2.51e-07,8.90570977894e-08
1378266316,0.5,-2.5155e-07,8.65718247084e-08
1378266317,0.5,-2.475e-07,8.48022208829e-08
1378266318,0.5,-2.46216666667e-07,8.81661483917e-08
1378266319,0.5,-2.41966666667e-07,8.7924961694e-08
1378266320,0.5,-2.41566666667e-07,8.77480040925e-08
1378266321,0.5,-2.3595e-07,8.85429133246e-08
1378266322,0.5,-2.315e-07,8.71306490278e-08
1378266323,0.5,-2.32266666667e-07,8.72526726748e-08
1378266324,0.5,-2.28783333333e-07,8.676656262e-08
1378266325,0.5,-2.31116666667e-07,8.69626532228e-08
1378266326,0.55,9.3035e-07,4.28281209215e-07
1378266327,0.55,3.74533333333e-07,1.03322870438e-07
1378266328,0.55,2.38416666667e-07,9.13550384793e-08
1378266329,0.55,1.72383333333e-07,8.88194970463e-08
1378266330,0.55,1.29516666667e-07,8.92198579665e-08
1378266331,0.55,1.01283333333e-07,8.71451072764e-08
1378266332,0.55,7.79333333333e-08,8.66125215479e-08
1378266333,0.55,6.22166666667e-08,8.84345505005e-08
1378266334,0.55,4.665e-08,8.62729824453e-08
1378266335,0.55,3.79e-08,8.64200401142e-08
1378266336,0.55,2.67833333333e-08,8.36046433453e-08
1378266337,0.55,1.95e-08,8.56733136202e-08
1378266338,0.55,1.31333333333e-08,8.6512131455e-08
1378266339,0.55,5.43333333333e-09,8.39383437742e-08
1378266340,0.55,-7.16666666667e-10,8.37351164221e-08
1378266341,0.55,-2.43333333333e-09,8.56723149889e-08
1378266342,0.55,-9.38333333333e-09,8.5648718937e-08
1378266343,0.55,-1.12e-08,8.78951648272e-08
1378266344,0.55,-1.605e-08,8.57845022911e-08
1378266345,0.55,-2.03e-08,8.62742333106e-08
1378266346,0.55,-2.22833333333e-08,8.51608461808e-08
1378266347,0.55,-2.48333333333e-08,8.69969667415e-08
1378266348,0.55,-2.695e-08,8.68827610442e-08
1378266349,0.55,-2.79e-08,8.74962284901e-08
1378266350,0.55,-3.10833333333e-08,8.51385716869e-08
1378266351,0.55,-3.44e-08,8.65966127128e-08
1378266352,0.55,-3.435e-08,8.35034580122e-08
1378266353,0.55,-3.57166666667e-08,8.65702203737e-08
1378266354,0.55,-3.63666666667e-08,8.83117520807e-08
1378266355,0.55,-3.69833333333e-08,8.79326430981e-08
1378266356,0.55,-3.50666666667e-08,8.63365250375e-08
1378266357,0.55,-4.35e-08,8.5834627822e-08
1378266358,0.55,-4.06333333333e-08,8.68980181336e-08
1378266359,0.55,-4.52166666667e-08,8.44740772203e-08
1378266360,0.55,-4.73666666667e-08,8.66885164765e-08
1378266361,0.55,-4.39e-08,8.65098645628e-08
1378266362,0.55,-4.405e-08,8.38769783671e-08
1378266363,0.55,-4.505e-08,8.88598944031e-08
1378266364,0.55,-4.355e-08,8.45516459528e-08
1378266365,0.55,-4.54333333333e-08,8.40226887348e-08
1378266366,0.55,-4.85666666667e-08,8.87624858197e-08
1378266367,0.55,-4.81e-08,8.5434516834e-08
1378266368,0.55,-4.80166666667e-08,8.44135636152e-08
1378266369,0.55,-4.97e-08,8.62172256571e-08
1378266370,0.55,-5.125e-08,8.70623579204e-08
1378266371,0.55,-5.00166666667e-08,8.87116098502e-08
1378266372,0.55,-5.305e-08,8.55147989142e-08
1378266373,0.55,-4.66833333333e-08,8.53273093577e-08
1378266374,0.55,-5.005e-08,8.71344602707e-08
1378266375,0.55,-5.09166666667e-08,9.07234427012e-08
1378266376,0.55,-5.06e-08,8.42385897318e-08
1378266377,0.55,-5.14e-08,8.54948731406e-08
1378266378,0.55,-5.22333333333e-08,8.61230450512e-08
1378266379,0.55,-5.13e-08,8.86179628142e-08
1378266380,0.55,-5.25833333333e-08,8.67760127506e-08
1378266381,0.55,-5.27833333333e-08,8.528092629e-08
1378266382,0.55,-5.24333333333e-08,8.68931080249e-08
1378266383,0.55,-5.27166666667e-08,8.43121366642e-08
1378266384,0.55,-5.15666666667e-08,8.60719401948e-08
1378266385,0.55,-5.065e-08,8.61790432762e-08
1378266386,0.55,-5.32666666667e-08,8.5482915772e-08
1378266387,0.55,-5.27333333333e-08,8.48824415818e-08
1378266388,0.55,-5.16833333333e-08,8.73284015783e-08
1378266389,0.55,-5.225e-08,8.83365958517e-08
1378266390,0.55,-5.43166666667e-08,8.80035021399e-08
1378266391,0.6,1.10331666667e-06,4.02466664941e-07
1378266392,0.6,5.60866666667e-07,1.01366080235e-07
1378266393,0.6,4.194e-07,9.19065104694e-08
1378266394,0.6,3.55066666667e-07,8.95209224458e-08
1378266395,0.6,3.07633333333e-07,8.77984370906e-08
1378266396,0.6,2.82066666667e-07,8.9485914472e-08
1378266397,0.6,2.506e-07,8.90616266039e-08
1378266398,0.6,2.307e-07,8.47093658734e-08
1378266399,0.6,2.18883333333e-07,8.70086378215e-08
1378266400,0.6,1.9825e-07,8.81874187928e-08
1378266401,0.6,1.8895e-07,8.64685732892e-08
1378266402,0.6,1.81966666667e-07,8.63971385843e-08
1378266403,0.6,1.6965e-07,8.88282659593e-08
1378266404,0.6,1.628e-07,8.59039774011e-08
1378266405,0.6,1.54016666667e-07,8.78063193752e-08
1378266406,0.6,1.51133333333e-07,8.50600702772e-08
1378266407,0.6,1.4165e-07,8.84676635839e-08
1378266408,0.6,1.3235e-07,8.91612443834e-08
1378266409,0.6,1.28566666667e-07,8.6424989956e-08
1378266410,0.6,1.22083333333e-07,8.68038577612e-08
1378266411,0.6,1.21816666667e-07,8.81274629285e-08
1378266412,0.6,1.1035e-07,8.64115781208e-08
1378266413,0.6,1.08333333333e-07,8.50160115638e-08
1378266414,0.6,1.046e-07,8.54254450774e-08
1378266415,0.6,1.02616666667e-07,8.54638503826e-08
1378266416,0.6,9.98333333333e-08,8.49449167925e-08
1378266417,0.6,9.605e-08,8.55841544914e-08
1378266418,0.6,9.05333333333e-08,8.84536539035e-08
1378266419,0.6,8.77e-08,8.50551389786e-08
1378266420,0.6,8.705e-08,8.70357062743e-08
1378266421,0.6,8.30666666667e-08,8.93463050284e-08
1378266422,0.6,8.30666666667e-08,8.72883853799e-08
1378266423,0.6,7.90166666667e-08,8.63343291448e-08
1378266424,0.6,7.725e-08,8.5861443617e-08
1378266425,0.6,7.61166666667e-08,8.71961565794e-08
1378266426,0.6,7.01833333333e-08,8.67162982887e-08
1378266427,0.6,6.81833333333e-08,8.59231229388e-08
1378266428,0.6,6.765e-08,8.49934948491e-08
1378266429,0.6,6.20166666667e-08,8.69885991891e-08
1378266430,0.6,6.52833333333e-08,8.86124693382e-08
1378266431,0.6,6.67e-08,8.73008781934e-08
1378266432,0.6,6.14e-08,8.70538530643e-08
1378266433,0.6,5.57e-08,8.5688447296e-08
1378266434,0.6,5.76666666667e-08,8.49218595076e-08
1378266435,0.6,5.68166666667e-08,8.66763119633e-08
1378266436,0.6,5.205e-08,8.5664349839e-08
1378266437,0.6,5.40666666667e-08,8.28399796126e-08
1378266438,0.6,5.105e-08,8.90139361748e-08
1378266439,0.6,4.79833333333e-08,8.82006220059e-08
1378266440,0.6,4.85833333333e-08,8.76151226799e-08
1378266441,0.6,4.39833333333e-08,8.31657965886e-08
1378266442,0.6,4.715e-08,8.67859099547e-08
1378266443,0.6,4.77666666667e-08,8.49216043707e-08
1378266444,0.6,4.275e-08,8.62526569639e-08
1378266445,0.6,4.35166666667e-08,8.79102746491e-08
1378266446,0.6,3.78833333333e-08,8.8444538491e-08
1378266447,0.6,4.09e-08,8.44601878599e-08
1378266448,0.6,4.01833333333e-08,8.7237509453e-08
1378266449,0.6,3.90666666667e-08,8.72866669213e-08
1378266450,0.6,3.84e-08,8.76457262696e-08
1378266451,0.6,3.75333333333e-08,8.64113161314e-08
1378266452,0.6,3.55166666667e-08,8.54379875829e-08
