START MEASUREMENT SETTINGS
concentration,0.5
voltage_min,0.5
voltage_max,1.2
pointsPerV,4
END MEASUREMENT SETTINGS
time,voltage,current,stdDev
i,f,f,f
1378252567,0.5,-5.17595e-06,1.04094693148e-06
1378252568,0.5,-3.72828333333e-06,1.91347771668e-07
1378252569,0.5,-3.19736666667e-06,1.43453472906e-07
1378252570,0.5,-2.91206666667e-06,1.11062574955e-07
1378252571,0.5,-2.67493333333e-06,1.06433056686e-07
1378252572,0.5,-2.49063333333e-06,1.02242842727e-07
1378252573,0.5,-2.3038e-06,9.94647006061e-08
1378252574,0.5,-2.1744e-06,1.10428589293e-07
1378252575,0.5,-2.04096666667e-06,9.8013938918e-08
1378252576,0.5,-1.92533333333e-06,1.06469348745e-07
1378252577,0.5,-1.81183333333e-06,9.69345426334e-08
1378252578,0.5,-1.73348333333e-06,9.92905654576e-08
1378252579,0.5,-1.6247e-06,1.0072773534e-07
1378252580,0.5,-1.5498e-06,9.76778378139e-08
1378252581,0.5,-1.48688333333e-06,9.28576135214e-08
1378252582,0.5,-1.41561666667e-06,9.32132128808e-08
1378252583,0.5,-1.35295e-06,9.71170127561e-08
1378252584,0.5,-1.2888e-06,9.24854583164e-08
1378252585,0.5,-1.22165e-06,9.72361086908e-08
1378252586,0.55,7.13616666667e-07,5.27899614563e-07
1378252587,0.55,5.56e-08,1.14805516708e-07
1378252588,0.55,-1.21666666667e-07,9.97800358567e-08
1378252589,0.55,-2.18833333333e-07,9.40955483656e-08
1378252590,0.55,-2.77116666667e-07,9.38772410592e-08
1378252591,0.55,-3.11316666667e-07,1.00327047145e-07
1378252592,0.55,-3.40166666667e-07,9.57817252345e-08
1378252593,0.55,-3.5585e-07,9.07690889015e-08
1378252594,0.55,-3.68083333333e-07,1.01366873561e-07
1378252595,0.55,-3.6705e-07,9.66370227535e-08
1378252596,0.55,-3.75933333333e-07,9.66201957265e-08
1378252597,0.55,-3.81133333333e-07,9.93825046083e-08
1378252598,0.55,-3.7855e-07,9.70540098777e-08
1378252599,0.55,-3.78933333333e-07,1.04404799805e-07
1378252600,0.55,-3.69083333333e-07,9.15154434447e-08
1378252601,0.55,-3.62583333333e-07,9.93700645176e-08
1378252602,0.55,-3.5895e-07,9.51287592336e-08
1378252603,0.6,1.60293333333e-06,5.35691511558e-07
1378252604,0.6,8.842e-07,1.34475623566e-07
1378252605,0.6,6.52866666667e-07,1.11596515278e-07
1378252606,0.6,5.0665e-07,1.05172211951e-07
1378252607,0.6,4.09716666667e-07,1.03102714427e-07
1378252608,0.6,3.377e-07,1.03506247799e-07
1378252609,0.6,2.8065e-07,1.03555110127e-07
1378252610,0.6,2.34566666667e-07,9.70076228391e-08
1378252611,0.6,1.993e-07,9.71391270292e-08
1378252612,0.6,1.688e-07,9.85125711098e-08
1378252613,0.6,1.3445e-07,1.03608787433e-07
1378252614,0.6,1.12833333333e-07,1.00250380991e-07
1378252615,0.6,9.64166666667e-08,1.01654200055e-07
1378252616,0.6,8.03666666667e-08,9.54665677374e-08
1378252617,0.6,6.56666666667e-08,9.50380040943e-08
1378252618,0.6,4.52e-08,9.88279312745e-08
1378252619,0.6,3.505e-08,1.0468403651e-07
1378252620,0.65,2.10273333333e-06,5.89909057021e-07
1378252621,0.65,1.31158333333e-06,1.38180110926e-07
1378252622,0.65,1.02923333333e-06,1.11638906997e-07
1378252623,0.65,8.65316666667e-07,1.09980981942e-07
1378252624,0.65,7.5685e-07,1.07028006459e-07
1378252625,0.65,6.62816666667e-07,1.0258971548e-07
1378252626,0.65,5.95616666667e-07,1.05919165982e-07
1378252627,0.65,5.44283333333e-07,1.00873202862e-07
1378252628,0.65,4.99916666667e-07,1.09235569858e-07
1378252629,0.65,4.5475e-07,1.04210624059e-07
1378252630,0.65,4.21616666667e-07,1.05412537469e-07
1378252631,0.65,3.875e-07,1.03920241852e-07
1378252632,0.65,3.63033333333e-07,9.9387954781e-08
1378252633,0.65,3.4005e-07,9.97976995393e-08
1378252634,0.65,3.14383333333e-07,1.02676854202e-07
1378252635,0.65,2.978e-07,9.97722072189e-08
1378252636,0.65,2.73016666667e-07,9.99874144858e-08
1378252637,0.7,2.28488333333e-06,5.75424541583e-07
1378252638,0.7,1.5345e-06,1.39471323217e-07
1378252639,0.7,1.24818333333e-06,1.13475913989e-07
1378252640,0.7,1.06156666667e-06,1.08405314548e-07
1378252641,0.7,9.51066666667e-07,9.95608468336e-08
1378252642,0.7,8.5145e-07,1.03726310548e-07
1378252643,0.7,7.80416666667e-07,1.02867599639e-07
1378252644,0.7,7.2055e-07,1.01732234321e-07
1378252645,0.7,6.69716666667e-07,1.06601296375e-07
1378252646,0.7,6.19366666667e-07,1.02558595718e-07
1378252647,0.7,5.91816666667e-07,1.02000570532e-07
1378252648,0.7,5.51e-07,1.03203682105e-07
1378252649,0.7,5.2325e-07,1.04447853816e-07
1378252650,0.7,4.97733333333e-07,1.01150196353e-07
1378252651,0.7,4.72583333333e-07,1.03896950816e-07
1378252652,0.7,4.51816666667e-07,1.01040996905e-07
1378252653,0.7,4.2225e-07,9.81547460221e-08
1378252654,0.75,2.41958333333e-06,5.4924106097e-07
1378252655,0.75,1.67551666667e-06,1.37686175978e-07
1378252656,0.75,1.36646666667e-06,1.14812233185e-07
1378252657,0.75,1.20326666667e-06,1.12006676388e-07
1378252658,0.75,1.08951666667e-06,1.10362356455e-07
1378252659,0.75,9.91033333333e-07,1.08227070961e-07
1378252660,0.75,9.135e-07,1.11514946681e-07
1378252661,0.75,8.49683333333e-07,1.03932588997e-07
1378252662,0.75,7.94416666667e-07,1.06474925322e-07
1378252663,0.75,7.47966666667e-07,1.06098376781e-07
1378252664,0.75,7.12266666667e-07,9.8179404946e-08
1378252665,0.75,6.71516666667e-07,1.01701113017e-07
1378252666,0.75,6.4255e-07,1.00658237782e-07
1378252667,0.75,6.23816666667e-07,1.06265468155e-07
1378252668,0.75,5.91616666667e-07,1.11346919081e-07
