START MEASUREMENT SETTINGS
concentration,0.5
voltage_min,0.5
voltage_max,1.2
pointsPerV,4
END MEASUREMENT SETTINGS
time,voltage,current,stdDev
i,f,f,f
1378256338,0.5,-5.819e-07,1.40454227419e-07
1378256339,0.5,-3.993e-07,8.9119825703e-08
1378256340,0.5,-3.22583333333e-07,7.43577594397e-08
1378256341,0.5,-2.82916666667e-07,7.62129235906e-08
1378256342,0.5,-2.54016666667e-07,8.20322074283e-08
1378256343,0.5,-2.34483333333e-07,8.01237567073e-08
1378256344,0.5,-2.0935e-07,7.76820067111e-08
1378256345,0.5,-1.99583333333e-07,8.06788472209e-08
1378256346,0.5,-1.90366666667e-07,7.88978171786e-08
1378256347,0.5,-1.76233333333e-07,7.87716883715e-08
1378256348,0.5,-1.686e-07,7.78644548773e-08
1378256349,0.5,-1.63833333333e-07,8.11981458464e-08
1378256350,0.5,-1.55566666667e-07,8.41913231211e-08
1378256351,0.5,-1.51966666667e-07,8.30218779734e-08
1378256352,0.5,-1.514e-07,7.87487989326e-08
1378256353,0.5,-1.403e-07,8.46418533193e-08
1378256354,0.5,-1.33783333333e-07,7.59590002713e-08
1378256355,0.5,-1.32983333333e-07,8.2398521764e-08
1378256356,0.5,-1.35066666667e-07,8.19257522937e-08
1378256357,0.55,1.17831666667e-06,4.54204891052e-07
1378256358,0.55,6.06683333333e-07,1.0184424246e-07
1378256359,0.55,4.48316666667e-07,8.26291900938e-08
1378256360,0.55,3.72466666667e-07,8.11423577561e-08
1378256361,0.55,3.23133333333e-07,8.11142130305e-08
1378256362,0.55,2.8495e-07,7.86071296597e-08
1378256363,0.55,2.54116666667e-07,8.49880563504e-08
1378256364,0.55,2.33683333333e-07,8.10700297411e-08
1378256365,0.55,2.09833333333e-07,8.16117162068e-08
1378256366,0.55,1.99483333333e-07,8.62707929848e-08
1378256367,0.55,1.86233333333e-07,8.10533500576e-08
1378256368,0.55,1.6825e-07,8.09795498876e-08
1378256369,0.55,1.56116666667e-07,8.15403972819e-08
1378256370,0.55,1.47816666667e-07,8.34275117825e-08
1378256371,0.55,1.37783333333e-07,8.18423467541e-08
1378256372,0.55,1.30666666667e-07,7.47332292595e-08
1378256373,0.55,1.24816666667e-07,8.79699743599e-08
1378256374,0.6,1.42493333333e-06,4.12942484561e-07
1378256375,0.6,8.72666666667e-07,1.02063161272e-07
1378256376,0.6,7.05583333333e-07,8.53926795587e-08
1378256377,0.6,6.1205e-07,8.12847720466e-08
1378256378,0.6,5.521e-07,8.68058561773e-08
1378256379,0.6,5.06633333333e-07,8.82165832231e-08
1378256380,0.6,4.723e-07,8.47243176426e-08
1378256381,0.6,4.44783333333e-07,8.05721398637e-08
1378256382,0.6,4.1575e-07,7.78268644707e-08
1378256383,0.6,3.96883333333e-07,8.29359374591e-08
